,Country,Year,Index,Rank,Regional Indicator,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect
65,Bahrain,2013,5.312,79,Middle East and North Africa,6.689711094,10.79785061,0.883780539,65.72000122,0.809205949,,0.524703264,0.711107612,0.306209415
66,Bahrain,2015,5.96,49,Middle East and North Africa,6.00737524,10.78836441,0.852550745,66.19999695,0.84952116,0.107499674,,0.65334475,0.302972108
67,Bahrain,2016,6.218,42,Middle East and North Africa,6.169673443,10.78903675,0.862700105,66.125,0.888691068,0.083301701,,0.736219883,0.283466339
68,Bahrain,2017,6.087,41,Middle East and North Africa,6.227320671,10.7981348,0.875747144,66.05000305,0.905858517,0.130105913,,0.754333019,0.289759517
69,Bahrain,2019,6.199,37,Middle East and North Africa,7.098012447,10.8151474,0.877929449,65.90000153,0.906535506,0.036391091,,0.711386263,0.317106396
70,Bahrain,2020,6.227,40,Middle East and North Africa,6.173175812,10.77578163,0.847745061,65.82499695,0.94523257,0.117025144,,0.729510307,0.296835452
71,Bangladesh,2013,4.804,108,South Asia,4.660161018,8.277083397,0.530139685,62.75999832,0.741518021,-0.029183861,0.742774189,0.491930902,0.246052667
72,Bangladesh,2015,4.694,109,South Asia,4.633473873,8.375026703,0.601468265,63.79999924,0.814796269,-0.082050033,0.720600903,0.543083906,0.225753754
73,Bangladesh,2016,4.643,110,South Asia,4.5561409,8.431437492,0.649116933,63.92499924,0.874700487,-0.102280565,0.687853634,0.436627895,0.235022455
74,Bangladesh,2017,4.608,110,South Asia,4.309771061,8.482762337,0.712552786,64.05000305,0.896217167,-0.001381878,0.635014474,0.436497033,0.21350576
75,Bangladesh,2018,4.5,115,South Asia,4.499217033,8.541788101,0.705556035,64.17500305,0.90147084,-0.055945847,0.701421201,0.432964891,0.361237794
76,Bangladesh,2019,4.456,125,South Asia,5.114216805,8.606523514,0.673172176,64.30000305,0.90193665,-0.063901789,0.656004608,0.432665378,0.36947155
77,Bangladesh,2020,4.833,107,South Asia,5.279986858,8.628980637,0.739337921,64.42500305,0.777467191,-0.022515791,0.741659164,0.484559894,0.331708789
78,Bangladesh,2021,5.025,101,South Asia,4.123318672,8.68457222,0.484740287,64.55000305,0.893013358,0.091825157,0.746206582,0.503551364,0.448261052
79,Bangladesh,2022,5.155,94,South Asia,3.407532215,8.743256569,0.403707534,64.67500305,0.86457628,-0.054776076,0.61687237,0.393517077,0.448060185
80,Belarus,2013,5.504,66,Commonwealth of Independent States,5.876466274,9.841900826,0.922505975,63.97999954,0.723431289,-0.181126356,0.653039157,0.545432627,0.206219658
81,Belarus,2015,5.813,59,Commonwealth of Independent States,5.718907833,9.818078995,0.924072623,65.09999847,0.622753441,-0.095032595,0.668678164,0.545734644,0.184309959
82,Belarus,2016,5.802,61,Commonwealth of Independent States,5.177899361,9.791612625,0.926551104,65.32499695,0.658228815,-0.129186898,0.664055169,0.502697408,0.182106122
83,Belarus,2017,5.569,67,Commonwealth of Independent States,5.552915096,9.817717552,0.900255799,65.55000305,0.620979249,-0.125324965,0.654113412,0.501735687,0.232768074
84,Belarus,2018,5.483,73,Commonwealth of Independent States,5.233769894,9.850861549,0.904569268,65.77500153,0.643602371,-0.178330481,0.718455493,0.408883572,0.235728621
85,Belarus,2019,5.323,81,Commonwealth of Independent States,5.821453094,9.866782188,0.916740477,66.0,0.656933606,-0.189935863,0.545904756,0.558989465,0.189821407
86,Belgium,2013,6.967,21,Western Europe,7.10366106,10.7832098,0.909186184,69.68000031,0.890711069,0.012450119,0.573664308,0.738157332,0.217138946
87,Belgium,2015,6.937,19,Western Europe,6.904219151,10.80884647,0.885208845,70.0,0.869474947,0.057947557,0.46878463,0.747103333,0.239958704
88,Belgium,2016,6.929,18,Western Europe,6.948936462,10.81637096,0.928964078,70.15000153,0.865759015,-0.059950788,0.4966591,0.701093376,0.259653389
89,Belgium,2017,6.891,17,Western Europe,6.928347588,10.82858467,0.921639085,70.30000305,0.856801987,0.05037817,0.543046057,0.713402271,0.233597696
90,Belgium,2018,6.927,16,Western Europe,6.89217186,10.84180355,0.929815531,70.44999695,0.808386624,-0.128761545,0.630411804,0.681712568,0.250297338
91,Belgium,2019,6.923,18,Western Europe,6.772138119,10.85856056,0.884230494,70.59999847,0.776203632,-0.176252663,0.672497511,0.699042499,0.243630841
92,Belgium,2020,6.864,20,Western Europe,6.838760853,10.7991457,0.903558671,70.75,0.766917825,-0.170136407,0.633626759,0.619125485,0.260188788
93,Belgium,2021,6.834,20,Western Europe,6.881756306,10.8539772,0.914856791,70.90000153,0.82250309,0.079182751,0.523367822,0.686583519,0.260030925
94,Belgium,2022,6.805,19,Western Europe,6.856874466,10.87826824,0.922732711,71.05000305,0.889889002,0.096943997,0.48338443,0.718479693,0.234773248
95,Benin,2013,3.528,155,Sub-Saharan Africa,3.479412794,7.934523106,0.576823056,53.77999878,0.783240497,-0.084523983,0.855955541,0.645733833,0.216339186
96,Benin,2015,3.34,155,Sub-Saharan Africa,3.624664307,7.955011368,0.434388518,54.29999924,0.733383596,-0.02617301,0.850098193,0.554649472,0.373396546
97,Benin,2016,3.484,153,Sub-Saharan Africa,4.007357597,7.95836401,0.492815852,54.59999847,0.779795229,-0.064475536,0.837715745,0.578206301,0.455767602
98,Benin,2017,3.657,143,Sub-Saharan Africa,4.853180885,7.984066486,0.435878992,54.90000153,0.72680825,-0.064271487,0.767234623,0.59782958,0.457920343
99,Benin,2018,4.141,136,Sub-Saharan Africa,5.81982708,8.019667625,0.503544033,55.20000076,0.713264048,0.002967168,0.746510744,0.625308931,0.467871815
100,Benin,2019,4.883,102,Sub-Saharan Africa,4.976360798,8.057199478,0.442153931,55.5,0.770359993,-0.015219427,0.698346972,0.638348281,0.44139877
101,Benin,2020,5.216,86,Sub-Saharan Africa,4.407745838,8.066671371,0.506636083,55.79999924,0.783114672,-0.082944684,0.531883657,0.556501985,0.304512441
102,Benin,2021,5.045,99,Sub-Saharan Africa,4.493431091,8.108187675,0.435524195,56.09999847,0.724061847,-0.013133102,0.6125471,0.596800864,0.434594899
103,Benin,2022,4.623,115,Sub-Saharan Africa,4.217325687,8.136793137,0.365682811,56.40000153,0.714036763,-0.029674673,0.579618931,0.570917666,0.443851084
104,Bhutan,2015,5.253,79,,5.082128525,9.197989464,0.847574413,62.59999847,0.83010155,0.275951028,0.633955777,0.723232627,0.311589301
105,Bolivia,2013,5.857,50,Latin America and Caribbean,5.767428875,8.896345139,0.80273807,62.29999924,0.845931649,-0.068189763,0.811856568,0.721060872,0.410301536
106,Bolivia,2015,5.89,51,Latin America and Caribbean,5.834329128,8.965176582,0.828705788,62.70000076,0.88362509,-0.030841332,0.862373948,0.748659253,0.392902851
107,Bolivia,2016,5.822,59,Latin America and Caribbean,5.769723415,8.991458893,0.795958757,62.84999847,0.881748736,-0.048049994,0.852592945,0.735729158,0.376412243
108,Bolivia,2017,5.823,58,Latin America and Caribbean,5.65055275,9.017354012,0.778661788,63.0,0.883904934,-0.121653102,0.819261968,0.655216575,0.43394354
109,Bolivia,2018,5.752,62,Latin America and Caribbean,5.915734291,9.043848038,0.827159464,63.15000153,0.863246858,-0.094124205,0.786044598,0.705477774,0.387468874
110,Bolivia,2019,5.779,61,Latin America and Caribbean,5.67427063,9.051198006,0.7843014,63.29999924,0.88131094,-0.086886063,0.857220411,0.700826466,0.419328213
111,Bolivia,2020,5.747,65,Latin America and Caribbean,5.559258938,8.94636631,0.804810882,63.45000076,0.877031922,-0.052821815,0.868208289,0.728823423,0.381791174
112,Bolivia,2021,5.716,69,Latin America and Caribbean,5.56862402,8.99369812,0.797810495,63.59999847,0.861731231,-0.055375014,0.812174439,0.721001804,0.403487325
113,Bolivia,2022,5.6,71,Latin America and Caribbean,5.928882122,9.014473915,0.823510289,63.75,0.86501044,-0.080244467,0.84024471,0.738011003,0.425688803
114,Bosnia and Herzegovina,2013,4.813,107,Central and Eastern Europe,5.123664379,9.348740578,0.766827762,67.0,0.39034158,0.041170698,0.969836235,0.489300579,0.314516038
115,Bosnia and Herzegovina,2015,4.949,96,Central and Eastern Europe,5.117177963,9.416748047,0.655723631,67.0,0.630698025,-0.054861378,0.959853649,0.485843688,0.28623414
116,Bosnia and Herzegovina,2016,5.163,87,Central and Eastern Europe,5.180865288,9.460133553,0.807705104,67.05000305,0.633453727,0.133556396,0.957311988,0.565980375,0.304080278
117,Bosnia and Herzegovina,2017,5.182,90,Central and Eastern Europe,5.089902401,9.503191948,0.775295258,67.09999847,0.563798666,0.090596311,0.923343062,0.52663964,0.270745516
118,Bosnia and Herzegovina,2018,5.129,93,Central and Eastern Europe,5.887401104,9.551575661,0.835889578,67.15000153,0.658846438,0.121776573,0.912857771,0.567694068,0.277365059
119,Bosnia and Herzegovina,2019,5.386,78,Central and Eastern Europe,6.01552248,9.591153145,0.873141944,67.19999695,0.72156322,0.077330939,0.96290803,0.544666409,0.238068551
120,Bosnia and Herzegovina,2020,5.674,69,Central and Eastern Europe,5.515816212,9.572131157,0.898518682,67.25,0.740250826,0.135482535,0.916052163,0.601870954,0.325412303
121,Bosnia and Herzegovina,2021,5.813,64,Central and Eastern Europe,5.748823166,9.659282684,0.859953582,67.30000305,0.758979201,0.277147263,0.920913935,0.604092598,0.305352151
122,Botswana,2013,3.97,145,Sub-Saharan Africa,4.128298759,9.557082176,0.855570793,51.91999817,0.767357409,-0.145215124,0.748847783,0.670878947,0.243771017
123,Botswana,2015,4.332,128,Sub-Saharan Africa,3.761964798,9.523887634,0.815656066,52.79999924,0.857168913,-0.105200648,0.860292971,0.675721586,0.261428148
124,Botswana,2016,3.974,137,Sub-Saharan Africa,3.498936653,9.573143005,0.768302798,53.07500076,0.851694882,-0.243528172,0.729171813,0.657055497,0.251836598
125,Botswana,2017,3.766,142,Sub-Saharan Africa,3.504881144,9.592658043,0.768258631,53.34999847,0.817308009,-0.239540175,0.731441498,0.612189233,0.276252508
126,Botswana,2018,3.59,146,Sub-Saharan Africa,3.4613657,9.613274574,0.794936001,53.625,0.817621112,-0.245726705,0.806945443,0.687993288,0.267083704
127,Botswana,2019,3.488,148,Sub-Saharan Africa,3.471084833,9.623641014,0.773667216,53.90000153,0.832542658,-0.230794713,0.792079508,0.665049851,0.272721767
128,Botswana,2022,3.471,142,Sub-Saharan Africa,3.435275078,9.629345894,0.750399292,54.72499847,0.739403069,-0.21462056,0.830940306,0.623351395,0.286919117
129,Brazil,2013,6.849,24,Latin America and Caribbean,7.140282631,9.664690018,0.910421729,64.37999725,0.784814954,-0.09781301,0.706954181,0.724736154,0.275667757
130,Brazil,2015,6.983,16,Latin America and Caribbean,6.546896935,9.616577148,0.906693101,64.69999695,0.798935294,-0.018644908,0.771339059,0.687063634,0.324699104
131,Brazil,2016,6.952,17,Latin America and Caribbean,6.374817371,9.575156212,0.912455142,64.875,0.806571543,-0.103373155,0.781092763,0.711286247,0.30208382
132,Brazil,2017,6.635,22,Latin America and Caribbean,6.332929134,9.580375671,0.904694259,65.05000305,0.764792562,-0.178200513,0.794457376,0.669117153,0.307716906
133,Brazil,2018,6.419,28,Latin America and Caribbean,6.190921783,9.590117455,0.881505251,65.22499847,0.75060904,-0.120403156,0.763251305,0.676684558,0.349656254
134,Brazil,2019,6.3,32,Latin America and Caribbean,6.451148987,9.594590187,0.899175048,65.40000153,0.830206037,-0.065427221,0.761840582,0.701250315,0.337051332
135,Brazil,2020,6.376,32,Latin America and Caribbean,6.109717846,9.548379898,0.830832124,65.57499695,0.786235094,-0.057944715,0.728772223,0.65329963,0.38913855
136,Brazil,2021,6.33,35,Latin America and Caribbean,6.009953499,9.588253021,0.814328671,65.75,0.791507721,0.089277193,0.738571405,0.661550403,0.407182962
137,Brazil,2022,6.293,38,Latin America and Caribbean,6.257079601,9.610548019,0.865809739,65.92500305,0.82977134,-0.060690548,0.741963506,0.680912554,0.340775043
138,Bulgaria,2013,3.981,144,Central and Eastern Europe,3.993020535,9.847685814,0.829132318,65.62000275,0.60321337,-0.196904853,0.9620471,0.536720932,0.278313011
139,Bulgaria,2015,4.218,134,Central and Eastern Europe,4.865401268,9.903078079,0.907517016,65.90000153,0.636817813,-0.20479691,0.941279948,0.555951655,0.214223832
140,Bulgaria,2016,4.217,129,Central and Eastern Europe,4.837560654,9.940037727,0.92603606,66.0,0.700265527,-0.174660623,0.935988188,0.544566214,0.171699852
141,Bulgaria,2017,4.714,105,Central and Eastern Europe,5.096901894,9.974589348,0.94175458,66.09999847,0.689047039,-0.158122122,0.910799742,0.541951478,0.188637346
142,Bulgaria,2018,4.933,100,Central and Eastern Europe,5.098813534,10.00830364,0.923853278,66.19999695,0.724335909,-0.179910451,0.952014446,0.553910315,0.189090982
143,Bulgaria,2019,5.011,97,Central and Eastern Europe,5.108438015,10.05492973,0.948204398,66.30000305,0.821929872,-0.112818673,0.942806482,0.576582789,0.199888319
144,Bulgaria,2020,5.102,96,Central and Eastern Europe,5.597723007,10.02054119,0.916242361,66.40000153,0.818224788,-0.010106544,0.900632977,0.642387509,0.221351057
145,Bulgaria,2021,5.266,88,Central and Eastern Europe,5.421693325,10.10226154,0.883621037,66.5,0.841188073,-0.015801253,0.891248465,0.646759868,0.252776712
146,Bulgaria,2022,5.371,85,Central and Eastern Europe,5.378348827,10.13758183,0.952761054,66.59999847,0.741359413,-0.145212695,0.941625774,0.581908226,0.165301874
147,Burkina Faso,2013,4.259,131,Sub-Saharan Africa,3.325949669,7.508564949,0.745216608,52.52000046,0.741257429,-0.014702946,0.764721453,0.592102945,0.286765754
148,Burkina Faso,2015,3.587,152,Sub-Saharan Africa,4.418930054,7.529865265,0.705393493,53.40000153,0.659102738,0.004729509,0.692723989,0.554707587,0.359287649
149,Burkina Faso,2016,3.739,146,Sub-Saharan Africa,4.205634594,7.558389664,0.764401138,53.77500153,0.644681513,0.000605892,0.720542431,0.590086639,0.337300181
150,Burkina Faso,2017,4.032,134,Sub-Saharan Africa,4.646891117,7.589920044,0.784761369,54.15000153,0.613774717,-0.062158566,0.727451324,0.579846919,0.353821069
151,Burkina Faso,2018,4.424,121,Sub-Saharan Africa,4.92723608,7.626189232,0.664859474,54.52500153,0.720743477,-0.012058471,0.757398605,0.656122029,0.342865527
152,Burkina Faso,2019,4.587,115,Sub-Saharan Africa,4.740892887,7.654472828,0.683102369,54.90000153,0.677546859,-0.0030976,0.729396582,0.65623343,0.364775389
153,Burkina Faso,2020,4.769,112,Sub-Saharan Africa,4.639639854,7.646704197,0.667708993,55.27500153,0.750226498,0.123012692,0.808745325,0.604512036,0.388477534
154,Burkina Faso,2021,4.834,113,Sub-Saharan Africa,4.635508537,7.686983585,0.6575436,55.65000153,0.64410162,0.067367151,0.736158907,0.619715929,0.363105804
155,Burundi,2018,2.905,156,Sub-Saharan Africa,3.775283098,6.607255936,0.484715223,55.20000076,0.646398604,-0.022636671,0.598607659,0.635593653,0.362766594
156,Cambodia,2013,4.067,140,Southeast Asia,3.674466848,8.070134163,0.650589585,60.02000046,0.940592945,0.161719352,0.811991632,0.669755757,0.44031167
157,Cambodia,2015,3.819,145,Southeast Asia,4.162164688,8.178988457,0.728610277,60.70000076,0.956319809,0.207556576,0.825130224,0.731492698,0.399102688
158,Cambodia,2016,3.907,140,Southeast Asia,4.461259365,8.232682228,0.745901227,60.90000153,0.957821488,0.073389076,0.840416849,0.71258837,0.398200303
159,Cambodia,2017,4.168,129,Southeast Asia,4.585842133,8.287207603,0.765094936,61.09999847,0.963774681,0.084982984,0.821022928,0.668839991,0.40828383
160,Cambodia,2018,4.433,120,Southeast Asia,5.121837616,8.347026825,0.794605374,61.29999924,0.958304822,0.032342847,,0.723344207,0.414345801
161,Cambodia,2019,4.7,109,Southeast Asia,4.998284817,8.403866768,0.759175479,61.5,0.956799209,0.009721675,0.828444481,0.703703225,0.3895863
162,Cambodia,2020,4.848,106,Southeast Asia,4.376985073,8.360816002,0.724422634,61.70000076,0.963075459,0.05026247,0.863053977,0.770770192,0.38985163
163,Cambodia,2021,4.83,114,Southeast Asia,4.555141449,8.378979683,0.712757587,61.90000153,0.965093315,0.015026662,0.84435308,0.759146988,0.391309649
164,Cambodia,2022,4.64,114,Southeast Asia,4.250280857,8.414617538,0.78360188,62.09999847,0.946244061,0.154094294,0.859684169,0.755761087,0.387783885
165,Cameroon,2013,4.42,122,Sub-Saharan Africa,4.271038055,8.143866539,0.760194361,50.91999817,0.794075966,-0.036168404,0.867257416,0.639725685,0.268199235
166,Cameroon,2015,4.252,133,Sub-Saharan Africa,5.037964821,8.192779541,0.646312475,51.79999924,0.791428566,0.04406023,0.868049026,0.623713493,0.346430004
167,Cameroon,2016,4.513,114,Sub-Saharan Africa,4.816232204,8.207217216,0.659299791,52.47499847,0.71250701,-0.008439968,0.87945056,0.634631455,0.367093384
168,Cameroon,2017,4.695,107,Sub-Saharan Africa,5.07405138,8.21367836,0.69459641,53.15000153,0.766945004,-0.033227805,0.84358561,0.632240534,0.377498746
169,Cameroon,2018,4.975,99,Sub-Saharan Africa,5.250737667,8.224833488,0.676825225,53.82500076,0.816304982,0.030961027,0.884441614,0.629664183,0.355642408
170,Cameroon,2019,5.044,96,Sub-Saharan Africa,4.936737537,8.231245041,0.710964739,54.5,0.711500287,-0.011995641,0.817170262,0.606392264,0.326395005
